Time,Geoid,NumberOfReports
09/2017,36047030800,1
10/2017,36005040302,1
01/2017,36047056900,1
02/2017,36005014701,5
03/2017,36061017800,1
12/2017,36005018301,2
10/2017,36061007900,3
02/2017,36061004900,4
05/2017,36005004100,2
09/2017,36005038500,1
05/2017,36047036900,3
03/2017,36061003900,4
02/2017,36005014300,1
08/2017,36061020901,4
05/2017,36081003300,3
09/2017,36047090000,3
03/2017,36047070202,1
09/2017,36081055400,1
07/2017,36047032600,4
09/2017,36061005400,3
06/2017,36047021900,2
11/2017,36081016300,2
04/2017,36047051100,1
01/2017,36061018600,5
10/2017,36047041401,3
06/2017,36081023800,1
04/2017,36005023800,46
01/2017,36081009500,3
05/2017,36005003900,2
03/2017,36005019900,2
03/2017,36081077902,2
10/2017,36005046201,15
01/2017,36047041100,2
08/2017,36005009000,6
12/2017,36061008100,6
01/2017,36047030800,2
02/2017,36061016400,1
05/2017,36085017700,2
10/2017,36061017100,8
04/2017,36047005900,3
07/2017,36005013800,2
08/2017,36061010800,2
06/2017,36081071306,1
09/2017,36061030300,4
09/2017,36005026300,3
11/2017,36085020801,3
12/2017,36047048800,1
09/2017,36047006200,1
02/2017,36047053800,2
10/2017,36047029300,2
12/2017,36061022900,6
04/2017,36061006500,6
09/2017,36005011000,1
06/2017,36085006700,1
03/2017,36047037100,2
06/2017,36047049100,7
04/2017,36061007400,2
09/2017,36061003800,6
12/2017,36081093900,2
11/2017,36061004900,10
01/2017,36005026701,1
06/2017,36061022600,2
03/2017,36061003602,3
09/2017,36061023502,3
03/2017,36061017500,5
08/2017,36061011600,4
10/2017,36061013400,4
09/2017,36061002602,2
06/2017,36081076901,1
02/2017,36061014402,2
06/2017,36047036900,4
06/2017,36085004000,1
10/2017,36061018000,5
05/2017,36061023000,2
09/2017,36047021100,3
03/2017,36005025500,4
01/2017,36085016901,2
01/2017,36081027600,4
09/2017,36005032800,1
01/2017,36005045800,2
10/2017,36047050803,2
08/2017,36061017401,2
01/2017,36047039500,3
11/2017,36005032300,1
05/2017,36005040800,6
11/2017,36061004500,1
08/2017,36061009900,5
01/2017,36081000700,1
06/2017,36005005300,1
04/2017,36047052700,2
02/2017,36047120800,2
12/2017,36061000600,3
07/2017,36005009000,5
09/2017,36047013800,1
12/2017,36061022301,4
10/2017,36061017900,2
05/2017,36061015100,7
04/2017,36061003002,1
01/2017,36081161700,3
07/2017,36061023700,3
04/2017,36061004100,3
11/2017,36005017702,3
02/2017,36061024200,2
10/2017,36005021601,6
05/2017,36061006500,4
04/2017,36005041800,1
07/2017,36081100801,2
01/2017,36047086800,1
08/2017,36005045101,1
01/2017,36061003300,1
08/2017,36061003800,5
07/2017,36047036300,3
04/2017,36047056100,1
10/2017,36061001800,6
05/2017,36047031100,1
03/2017,36081005300,1
08/2017,36081027800,3
05/2017,36005034000,3
04/2017,36061004900,2
11/2017,36061021703,3
01/2017,36081075702,6
12/2017,36047089600,1
06/2017,36085029102,1
08/2017,36047022600,1
06/2017,36061016200,13
12/2017,36047030100,3
05/2017,36061019600,4
12/2017,36061022102,3
10/2017,36047057100,1
11/2017,36005025000,1
12/2017,36005008500,3
08/2017,36047011900,1
11/2017,36005039100,3
12/2017,36081025400,4
04/2017,36061002201,2
05/2017,36061003400,4
10/2017,36081095400,4
04/2017,36061000600,2
04/2017,36081051200,1
11/2017,36047052700,4
02/2017,36061022700,4
12/2017,36047110400,7
